<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130819,000000,266.0970500,268.1260600,266.0358700,266.8362600,0
20130820,000000,266.8413600,268.7378300,266.8413600,267.6366500,0
20130821,000000,267.1574400,268.9417500,265.8319500,266.5813600,0
20130822,000000,267.1982200,268.5899900,267.0605700,268.2178300,0
20130823,000000,268.1464600,268.9315500,267.0554800,268.6664600,0
20130826,000000,269.5025300,270.9503800,269.0233200,269.4311600,0
20130827,000000,267.6723400,267.6723400,264.3025400,264.5880300,0
20130828,000000,264.2464600,266.8260700,263.6499900,265.7860700,0
20130829,000000,264.7766600,268.4931200,264.7766600,266.7750800,0
20130830,000000,266.8107700,266.9331200,264.7664600,265.6382200,0
20130903,000000,267.4021400,268.8907700,265.9339100,267.2848900,0
20130904,000000,267.3715600,270.6292000,267.0911600,270.3488100,0
20130905,000000,270.3946900,271.2460600,269.9919400,270.9758700,0
20130906,000000,271.3837100,272.6276300,267.7743000,271.0370400,0
20130909,000000,271.4601800,273.0558600,270.9860600,273.0558600,0
20130910,000000,273.9735100,274.9166500,273.2190000,274.5699800,0
20130911,000000,274.9931200,276.2421400,274.2793900,276.0892000,0
20130912,000000,275.8954700,276.4970400,275.1562500,275.4366500,0
20130913,000000,275.7221400,276.2829200,274.9064500,276.0382100,0
20130916,000000,278.3680200,279.2142900,277.6899800,278.2354700,0
20130917,000000,278.2762500,278.6637000,277.5115500,278.6637000,0
20130918,000000,278.8421300,280.9425200,276.9711600,280.4888000,0
20130919,000000,280.9272300,280.9935100,278.8523300,279.3723300,0
20130920,000000,279.5813500,280.5193900,278.4597800,278.5515500,0
20130923,000000,277.9907600,277.9907600,275.6303700,276.7621400,0
20130924,000000,276.4817400,277.2566400,275.4417500,275.5844900,0
20130925,000000,275.6966500,275.6966500,273.4382200,273.4382200,0
20130926,000000,274.1111600,275.5335100,273.7746900,274.6770400,0
20130927,000000,273.7033100,275.0237100,272.9946900,274.5241000,0
20130930,000000,273.3311600,274.7484100,272.3421400,273.9480200,0
20131001,000000,274.5037100,277.5676300,274.5037100,277.5421300,0
20131002,000000,276.3033100,276.9660600,275.2021400,276.9660600,0
20131003,000000,276.3644900,276.3644900,273.3821400,274.4068400,0
20131004,000000,274.7229200,277.5268400,274.4425300,277.2821300,0
20131007,000000,275.7731200,275.9719400,274.1213500,274.1213500,0
20131008,000000,274.0346900,274.1519400,269.4158700,269.4668500,0
20131009,000000,269.9817500,270.1907700,267.2288100,268.7021400,0
20131010,000000,270.9248900,274.8044900,270.8484100,274.8044900,0
20131011,000000,274.9523300,276.3441000,274.4680200,276.0841000,0
20131014,000000,274.8605700,277.8786100,273.9633200,277.8531200,0
20131015,000000,277.2617400,278.5107600,276.0331200,276.2115500,0
20131016,000000,277.1393900,281.8397800,277.1393900,281.8397800,0
20131017,000000,281.5033100,284.3225200,280.6111500,284.1899700,0
20131018,000000,284.0574200,284.0574200,281.6307600,283.3029100,0
20131021,000000,283.3386000,283.3386000,280.9731100,281.7531100,0
20131022,000000,282.4821300,285.1229100,282.3903700,284.5672300,0
20131023,000000,284.2001700,284.5825200,282.7472300,284.3225200,0
20131024,000000,284.4244800,285.3778100,283.7668400,283.9758600,0
20131025,000000,284.0166400,284.1695800,282.6962500,284.1695800,0
20131028,000000,284.2613500,285.5919300,283.7719300,284.9597800,0
20131029,000000,285.3319300,286.8562500,285.0362500,286.8358500,0
20131030,000000,287.2691900,287.6821300,284.1440900,284.9444800,0
20131031,000000,285.1025200,285.9131100,283.3029100,283.5833100,0
20131101,000000,284.2052700,285.5970300,283.3029100,285.2401700,0
20131104,000000,285.6072300,286.2597700,284.6844800,285.5817400,0
20131105,000000,285.4695800,285.4695800,283.4456600,284.8629100,0
20131106,000000,285.4237000,286.1578200,283.3844800,283.6189900,0
20131107,000000,284.4499700,285.5052700,280.7946800,280.8609600,0
20131108,000000,281.5542900,285.6276200,281.5542900,285.5256600,0
20131111,000000,285.7244800,286.8154600,285.6837000,286.4178200,0
20131112,000000,285.6429100,286.3515400,284.8068300,286.2444800,0
20131113,000000,285.2962500,288.0084000,284.7966400,288.0084000,0
20131114,000000,288.7782100,290.5166400,288.6813400,290.2107500,0
20131115,000000,290.2464400,291.7248700,289.7468300,291.7146700,0
20131118,000000,291.9950700,292.6782000,289.6652600,290.2821300,0
20131119,000000,290.2107500,291.0213400,288.6711500,290.5676100,0
20131120,000000,290.7613400,292.9433000,290.3942800,291.4495700,0
20131121,000000,291.8982000,293.6927100,291.8982000,292.9993800,0
20131122,000000,294.5236900,296.5170200,294.3401600,296.4966300,0
20131125,000000,297.3683900,299.0099600,297.2001600,297.6487900,0
20131126,000000,297.7507500,298.2248600,296.7413400,296.7413400,0
20131127,000000,297.2970200,297.6283900,296.3640800,296.9503600,0
20131129,000000,297.1440800,297.8119200,296.2366300,296.5731000,0
20131202,000000,296.4864300,297.5570200,295.8593800,296.9758500,0
20131203,000000,296.2417300,296.2417300,293.7946700,294.5593800,0
20131204,000000,293.8456500,295.0895700,291.0978100,293.4021200,0
20131205,000000,293.0605500,294.3707500,292.1989900,292.6935000,0
20131206,000000,294.2891800,296.4048700,294.2178100,296.3436900,0
20131209,000000,297.0472200,297.4805500,296.3946700,296.6954500,0
20131210,000000,296.2366300,296.6240800,294.2636900,295.3903600,0
20131211,000000,295.2985900,295.2985900,289.7978100,290.2872200,0
